year,improvement_sqm,deterioration_sqm
2010,64,338
2011,351,51
2012,104,298
2013,260,142
2014,141,261
2015,277,125
2016,152,250
2017,213,189
2018,117,285
2019,376,26
2020,12,390
2021,313,89
2022,84,318
